_id,SKU,Reason,Quantity,Notes
63f2e6b00a9ba3c15e08f80a,suicidesquad003-L,Missing Parts,1,missing belt
63f2e7c20a9ba3c15e08f80b,suicidesquad003-L,Missing Parts,1,
63f2e7e10a9ba3c15e08f80c,suicidesquad003-L,Missing Parts,1,
63f2eb7b0a9ba3c15e08f80d,suicidesquad003-L,Missing Parts,1,missing belt
63f2ed660a9ba3c15e08f80e,CY034-ChristmasStoryUnionSuit-L,Too Large,1,
63f2f24a45638fda2e687731,CY034-ChristmasStoryUnionSuit-L,Too Small,1,
63f2f25a45638fda2e687732,CY034-ChristmasStoryUnionSuit-L,Too Small,3,
63f3780f45638fda2e687733,suicidesquad003-L,Missing Parts,1,missing belt
63f3783245638fda2e687734,starwars168-L,Damaged,1,
63f37de9eceb8403e8bfbd5e,suicidesquad003-L,Missing Parts,2,
63f37fc945638fda2e687735,CY034-ChristmasStoryUnionSuit-L,Too Large,1,
63f39e3cc283c511c732c2f7,starwars168-L,Too Small,1,
63f3cb74c283c511c732c2f8,suicidesquad003-L,Missing Parts,1,missing belt
